year,predicted_co2
2019,0.4384641214419389
2020,0.46484257325937506
2021,0.4930782440205803
2022,0.5232240456825821
2023,0.5553328903770307
2024,0.5894576901482651
2025,0.6256513570115203
2026,0.663966803040239
2027,0.7044569403369678
2028,0.7471746808587341
2029,0.7921729366789805
2030,0.8395046199584613
