year,predicted_co2
2019,0.384459193694056
2020,0.4171919984946726
2021,0.4520521092490526
2022,0.48909946692583617
2023,0.5283940122608328
2024,0.5699956860771636
2025,0.6139644289942225
2026,0.6603601820679614
2027,0.7092428857722552
2028,0.760672481104848
2029,0.8147089087724453
2030,0.8714121095981682
